GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200307992,4200307992,Allegheny County - COUNTY SUBDIVISION AND PLACE - Braddock borough,Braddock borough,2159,1086,0.65,0.08,0.56,3833.5,1928.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030799207992,420030799207992,Allegheny County - COUNTY SUBDIVISION AND PLACE - Braddock borough - Braddock borough,Braddock borough,2159,1086,0.65,0.08,0.56,3833.5,1928.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200308008,4200308008,Allegheny County - COUNTY SUBDIVISION AND PLACE - Braddock Hills borough,Braddock Hills borough,1880,1078,0.96,0.01,0.95,1983.9,1137.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030800808008,420030800808008,Allegheny County - COUNTY SUBDIVISION AND PLACE - Braddock Hills borough - Braddock Hills borough,Braddock Hills borough,1880,1078,0.96,0.01,0.95,1983.9,1137.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200308064,4200308064,Allegheny County - COUNTY SUBDIVISION AND PLACE - Bradford Woods borough,Bradford Woods borough,1171,497,0.89,0.00,0.89,1316.1,558.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030806408064,420030806408064,Allegheny County - COUNTY SUBDIVISION AND PLACE - Bradford Woods borough - Bradford Woods borough,Bradford Woods borough,1171,497,0.89,0.00,0.89,1316.1,558.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200308416,4200308416,Allegheny County - COUNTY SUBDIVISION AND PLACE - Brentwood borough,Brentwood borough,9643,4792,1.45,0.00,1.45,6660.8,3310.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030841608416,420030841608416,Allegheny County - COUNTY SUBDIVISION AND PLACE - Brentwood borough - Brentwood borough,Brentwood borough,9643,4792,1.45,0.00,1.45,6660.8,3310.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200308624,4200308624,Allegheny County - COUNTY SUBDIVISION AND PLACE - Bridgeville borough,Bridgeville borough,5148,2677,1.10,0.00,1.10,4697.4,2442.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030862408624,420030862408624,Allegheny County - COUNTY SUBDIVISION AND PLACE - Bridgeville borough - Bridgeville borough,Bridgeville borough,5148,2677,1.10,0.00,1.10,4697.4,2442.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200311336,4200311336,Allegheny County - COUNTY SUBDIVISION AND PLACE - Carnegie borough,Carnegie borough,7972,4329,1.62,0.00,1.62,4928.7,2676.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031133611336,420031133611336,Allegheny County - COUNTY SUBDIVISION AND PLACE - Carnegie borough - Carnegie borough,Carnegie borough,7972,4329,1.62,0.00,1.62,4928.7,2676.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200311680,4200311680,Allegheny County - COUNTY SUBDIVISION AND PLACE - Castle Shannon borough,Castle Shannon borough,8316,4146,1.60,0.00,1.60,5207.8,2596.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031168011680,420031168011680,Allegheny County - COUNTY SUBDIVISION AND PLACE - Castle Shannon borough - Castle Shannon borough,Castle Shannon borough,8316,4146,1.60,0.00,1.60,5207.8,2596.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200312496,4200312496,Allegheny County - COUNTY SUBDIVISION AND PLACE - Chalfant borough,Chalfant borough,800,450,0.16,0.00,0.16,5039.6,2834.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031249612496,420031249612496,Allegheny County - COUNTY SUBDIVISION AND PLACE - Chalfant borough - Chalfant borough,Chalfant borough,800,450,0.16,0.00,0.16,5039.6,2834.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200313392,4200313392,Allegheny County - COUNTY SUBDIVISION AND PLACE - Cheswick borough,Cheswick borough,1746,859,0.55,0.09,0.46,3773.5,1856.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031339213392,420031339213392,Allegheny County - COUNTY SUBDIVISION AND PLACE - Cheswick borough - Cheswick borough,Cheswick borough,1746,859,0.55,0.09,0.46,3773.5,1856.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200313608,4200313608,Allegheny County - COUNTY SUBDIVISION AND PLACE - Churchill borough,Churchill borough,3011,1438,2.19,0.00,2.19,1376.6,657.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031360813608,420031360813608,Allegheny County - COUNTY SUBDIVISION AND PLACE - Churchill borough - Churchill borough,Churchill borough,3011,1438,2.19,0.00,2.19,1376.6,657.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200313704,4200313704,Allegheny County - COUNTY SUBDIVISION AND PLACE - Clairton city,Clairton city,6796,3889,3.02,0.23,2.79,2437.4,1394.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031370413704,420031370413704,Allegheny County - COUNTY SUBDIVISION AND PLACE - Clairton city - Clairton city,Clairton city,6796,3889,3.02,0.23,2.79,2437.4,1394.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200315216,4200315216,Allegheny County - COUNTY SUBDIVISION AND PLACE - Collier township,Collier township,7080,3366,13.93,0.05,13.88,510.1,242.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031521664184,420031521664184,Allegheny County - COUNTY SUBDIVISION AND PLACE - Collier township - Rennerdale CDP,Rennerdale CDP,1150,470,0.79,0.00,0.79,1453.2,593.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031521699999,420031521699999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Collier township - Remainder of Collier township,Remainder of Collier township,5930,2896,13.14,0.05,13.09,453.1,221.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200316144,4200316144,Allegheny County - COUNTY SUBDIVISION AND PLACE - Coraopolis borough,Coraopolis borough,5677,3101,1.46,0.13,1.33,4273.3,2334.3
